date,estimatedMinutesWatched,views,likes,subscribersGained,comments,averageViewDuration,cardClicks,cardTeaserClicks,cardImpressions
2022-08-07,108,114,3,2,0,57,0,0,0
2022-11-09,96,78,0,1,0,74,3,0,0
2022-06-10,93,57,0,0,1,98,0,0,0
2022-08-09,91,48,0,0,0,114,0,0,0
2022-01-25,84,34,0,2,0,149,0,0,0
2022-02-07,82,54,0,0,0,91,0,0,0
2022-09-04,80,42,0,0,0,115,4,0,0
2022-11-05,78,49,2,0,0,96,0,0,0
2022-08-25,76,44,1,0,0,104,0,0,0
2021-11-11,76,46,2,0,0,99,3,0,0
2021-11-26,76,55,0,1,0,83,0,0,0
2021-11-09,75,78,0,0,0,58,0,0,0
2022-01-18,73,51,1,1,0,86,0,0,0
2022-06-09,73,44,0,0,0,100,0,0,0
2022-03-17,72,50,1,0,0,86,0,0,0
2022-04-29,72,37,3,2,0,117,0,0,0
2022-02-20,71,43,1,1,0,100,0,0,0
2021-12-20,71,50,1,0,0,85,0,0,0
2022-02-10,70,40,0,0,1,106,5,0,0
2022-03-24,70,67,0,0,0,63,0,0,0
2022-02-17,69,57,-1,2,0,73,0,0,0
2022-10-23,69,43,1,0,0,96,0,0,0
2021-11-10,69,49,1,2,0,84,0,0,0
2021-12-12,68,38,0,1,0,108,0,0,0
2021-11-16,68,64,0,1,0,63,0,0,0
2022-06-17,66,33,0,0,0,121,0,0,0
2022-05-17,66,48,1,0,0,82,0,0,0
2022-06-02,65,45,0,1,0,87,0,0,0
2022-04-17,65,46,0,1,0,85,0,0,0
2021-11-12,65,44,4,1,0,89,0,0,0
2022-07-09,65,37,1,0,0,106,0,0,0
2022-01-14,65,41,0,0,0,95,0,0,0
2022-07-07,65,38,0,0,0,103,0,0,0
2022-06-24,65,46,0,0,0,84,0,0,0
2022-07-14,64,44,2,0,0,88,4,0,0
2021-12-15,64,33,0,1,0,117,0,0,0
2022-08-10,64,41,1,0,0,94,0,0,0
2022-09-14,64,40,0,1,0,96,0,0,0
2021-10-16,63,45,6,1,0,85,4,0,0
2021-10-14,63,49,0,1,0,78,0,0,0
2021-12-21,63,38,1,1,0,100,0,0,0
2022-04-30,63,30,1,0,0,127,0,0,0
2021-12-27,63,42,0,2,0,90,0,0,0
2022-06-21,63,41,0,0,0,92,0,0,0
2021-10-18,63,45,0,1,0,84,0,0,0
2022-02-18,63,61,0,0,0,62,4,0,0
