video_id,title,published_at,estimatedMinutesWatched,views,likes,subscribersGained,comments,averageViewDuration,cardClicks,cardTeaserClicks,cardImpressions
4yqkqxU_UPQ,"Дудл-видео для компании ""Мобиус"" | Рисованное видео RomanSergeevCom",2018-07-11T00:02:10Z,17,25,0,0,0,42,0,0,0
TFhMpRCOD60,Аренда контейнера от компании ABC | Дудл видео для бизнеса,2018-10-05T17:53:59Z,6,8,-1,0,0,45,0,0,0
7atbVI0kB7k,Теплый дом | Моушн-дизайн видео,2020-12-17T14:16:29Z,5,8,0,0,0,38,0,0,0
CzZZZSCImP4,Belingua - сервис для работы переводчика | Моушн-дизайн видео для бизнеса,2019-01-27T20:18:24Z,1,6,0,0,0,15,0,0,0
KNa5A0csWWM,Новотелеком. Умная камера | Моушн-дизайн видео,2019-08-20T22:11:57Z,1,5,0,0,0,21,0,0,0
XslnpMo0Sio,Belingua - сервис для поиска переводчиков | Моушн-дизайн видео для бизнеса,2018-12-28T22:15:06Z,3,6,0,0,0,30,0,0,0
2AVEKSey1rQ,Второй паспорт - Канада | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T20:59:39Z,9,12,0,0,0,46,0,0,0
XtM7SMrJZJs,Кофе-принтер YoloCoffee | Дудл видео для бизнеса,2018-12-25T10:24:49Z,8,10,0,0,0,49,0,0,0
D90McGesHbg,"Дудл-видео для компании ""Милый Шкаф"" | Рисованное видео RomanSergeevCom",2018-08-04T02:23:10Z,2,4,0,0,0,34,0,0,0
UE7pBMuAvsU,Фабрика упаковки «ГлазовПак» _ Instagram | Моушн-дизайн видео,2019-03-10T23:39:59Z,3,6,0,0,0,35,0,0,0
E3TZVLIRTNA,"Дудл-видео для компании ""Гепард"" | Рисованное видео RomanSergeevCom",2018-06-06T21:52:33Z,25,25,0,0,0,62,0,0,0
H5-m0cg8cmY,Бизнес-календарь и 12 саммари на лучшие книги,2019-12-03T10:36:34Z,5,8,0,0,0,38,0,0,0
MOk41erzzBM,Оборудование для утилизации отходов Husmann Rus | Рисованное видео для бизнеса,2019-04-02T13:35:01Z,43,44,0,0,0,59,0,0,0
-GuANFl7sf4,"Обслуживание техники и помещений. Как это работает? Компания ""кВт"" | Рисованный реализм",2018-09-13T18:22:46Z,7,8,0,0,0,57,0,0,0
L_SJlDl8PUk,BEITRAINING | Дудл видео для бизнеса,2019-12-17T08:31:14Z,2,5,0,0,0,24,0,0,0
tzVSXZ8Mneo,"Дудл-видео для компании ""Топ Профиль"" | Рисованное видео RomanSergeevCom",2018-06-03T23:25:16Z,6,21,0,0,0,19,0,0,0
e-DPR7BOVLs,"Дудл-видео для компании ""Гекон"" | Рисованное видео RomanSergeevCom",2018-08-14T22:23:07Z,0,2,0,0,0,9,0,0,0
9dcKafa1ebw,Фабрика упаковки «ГлазовПак» | Моушн-дизайн видео,2019-03-10T23:36:54Z,33,35,0,0,0,57,0,0,0
j-NKt-9TpFc,"Дудл-видео для компании ""Мега Полис"" | Рисованное видео RomanSergeevCom",2018-06-03T23:23:29Z,1,6,0,0,0,16,0,0,0
NHc0YVl0CZQ,Мини АЗС | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T20:56:05Z,1,6,0,0,0,18,0,0,0
pI2glXMHRFI,"Дудл-видео для компании ""Фреш Авто-2"" | Рисованное видео RomanSergeevCom",2018-06-03T23:29:53Z,5,15,0,0,0,21,0,0,0
XLZnE7IL5lc,Иннополис для корпоративных клиентов | Детализированный Моушн-дизайн видео,2021-12-28T09:49:44Z,27,34,1,0,0,48,0,0,0
jizIdPchwuo,"Дудл-видео для компании ""Запасной ключ"" | Рисованное видео RomanSergeevCom",2018-06-03T23:14:41Z,1,3,0,0,0,30,0,0,0
1BUYQ1t6IHY,Короткие ролики без звука | Моушн-дизайн видео,2019-01-23T15:45:02Z,55,145,0,0,0,22,0,0,0
cYC5nuWJUb8,"Дудл-видео для компании ""Стартапы. Русская Америка"" | Рисованное видео RomanSergeevCom",2018-07-23T22:42:10Z,0,3,0,0,0,14,0,0,0
Lp-yGRPmll4,Второй паспорт | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T20:57:22Z,4,8,0,0,0,30,0,0,0
vTsC7oyTuNU,True Cost Цветы. Продажа цветочных букетов | дудл видео для бизнеса,2018-11-26T21:55:28Z,5,6,1,0,0,51,0,0,0
